"","subj","item","rt","so"
"51911",35,11,398,1
"52041",35,10,310,-1
"52181",35,9,294,1
"52341",35,6,294,-1
"52461",35,15,293,1
"52571",36,2,560,1
"52721",36,11,969,-1
"52851",36,15,314,-1
"52961",36,5,2366,-1
"53081",36,16,399,1
"53211",36,14,515,1
"53341",36,3,332,-1
"53511",36,8,1275,1
"53641",36,1,295,-1
"53791",36,13,377,-1
"53921",36,9,274,-1
"54081",36,10,250,1
"54221",36,4,267,1
"54391",36,6,243,1
"54511",36,7,222,-1
"54631",37,14,935,-1
"54761",37,6,1585,-1
"54881",37,8,1280,-1
"55011",37,16,2676,-1
"55141",37,11,695,1
"55271",37,5,831,1
"55391",37,7,791,1
"55511",37,3,550,1
"55681",37,4,470,-1
"55851",37,9,422,1
"56011",37,13,518,1
"56141",37,15,454,1
"56251",37,1,526,1
"56401",37,10,543,-1
"56541",37,2,614,-1
"56691",38,16,318,-1
"56821",38,2,278,-1
"56971",38,10,493,-1
"57111",38,15,622,1
"57221",38,4,238,-1
"57391",38,13,262,1
"57521",38,6,286,-1
"57641",38,9,324,1
"57801",38,8,238,-1
"57931",38,1,254,1
"58081",38,7,302,1
"58201",38,11,300,1
"58331",38,3,230,1
"58501",38,5,262,1
"58621",38,14,686,-1
"58751",39,2,374,-1
"58901",39,16,302,-1
"59031",39,7,206,1
"59151",39,13,445,1
"59281",39,6,278,-1
"59401",39,5,214,1
"59521",39,10,230,-1
"59661",39,11,2053,1
"59791",39,9,182,1
"59951",39,15,430,1
"60061",39,14,222,-1
"60191",39,1,206,1
"60341",39,3,462,1
"60511",39,4,270,-1
"60681",39,8,3814,-1
"60811",4,9,310,-1
"60971",4,8,1753,1
"61101",4,1,478,-1
"61251",4,3,334,-1
"61421",4,6,296,1
"61541",4,2,245,1
"61691",4,4,246,1
"61861",4,16,1449,1
"61991",4,11,301,-1
"62121",4,10,340,1
"62261",4,7,318,-1
"62381",4,5,270,-1
"62501",4,13,198,-1
"62631",4,14,205,1
"62761",4,15,197,-1
"62871",40,4,462,1
"63041",40,1,422,-1
"63191",40,3,421,-1
"63361",40,15,461,-1
"63471",40,9,390,-1
"63631",40,16,294,1
"63761",40,8,1509,1
"63891",40,10,358,1
"64031",40,2,318,1
"64181",40,7,356,-1
"64301",40,5,1262,-1
"64421",40,13,318,-1
"64551",40,6,438,1
"64671",40,14,278,1
"64801",40,11,390,-1
"64931",5,11,431,1
"65061",5,16,2071,-1
"65191",5,4,278,-1
"65361",5,1,387,1
"65511",5,5,624,1
"65631",5,14,583,-1
"65761",5,15,390,1
"65871",5,13,450,1
"66001",5,8,1421,-1
"66131",5,3,1859,1
"66301",5,9,402,1
"66461",5,10,377,-1
"66601",5,2,495,-1
"66751",5,7,282,1
"66871",5,6,279,-1
"66991",6,1,299,-1
"67141",6,6,414,1
"67261",6,8,1003,1
"67391",6,7,322,-1
"67511",6,9,355,-1
"67671",6,16,841,1
"67801",6,4,344,1
"67971",6,3,629,-1
"68141",6,11,526,-1
"68271",6,15,339,-1
"68381",6,13,369,-1
"68511",6,5,621,-1
"68631",6,2,218,1
"68781",6,10,244,1
"68921",6,14,193,1
"69051",7,2,1609,-1
"69201",7,6,647,-1
"69321",7,1,374,1
"69471",7,8,679,-1
"69601",7,11,342,1
"69731",7,4,318,-1
"69901",7,10,326,-1
"70041",7,7,254,1
"70161",7,15,334,1
"70271",7,16,960,-1
"70401",7,9,430,1
"70561",7,13,286,1
"70691",7,3,309,1
"70861",7,14,438,-1
"70991",7,5,270,1
"71111",8,6,282,1
"71231",8,13,729,-1
"71361",8,16,522,1
"71491",8,8,1635,1
"71621",8,9,422,-1
"71781",8,10,1396,1
"71921",8,5,299,-1
"72041",8,2,274,1
"72191",8,11,350,-1
"72321",8,7,302,-1
"72441",8,3,327,-1
"72611",8,14,305,1
"72741",8,4,429,1
"72911",8,1,217,-1
"73061",8,15,344,-1
"73171",9,10,1376,-1
"73311",9,2,903,-1
"73461",9,3,390,1
"73631",9,14,358,-1
"73761",9,13,382,1
"73891",9,4,398,-1
"74061",9,5,342,1
"74181",9,1,334,1
"74331",9,9,470,1
"74491",9,6,374,-1
"74611",9,15,406,1
"74721",9,16,342,-1
"74851",9,7,478,1
"74971",9,8,510,-1
"75101",9,11,350,1
