entity_name,entity_ID,origin_year,origin_period,dev_year,dev_month,cumulative_paid,incremental_paid,premium
Hartford Fire,2,1997,10,4,48,527692,67598,1088957
Hartford Fire,2,1997,10,5,60,571116,43424,1088957
Hartford Fire,2,1997,10,6,72,604342,33226,1088957
Hartford Fire,2,1997,10,7,84,628209,23867,1088957
Hartford Fire,2,1997,10,8,96,650290,22081,1088957
Hartford Fire,2,1997,10,9,108,668824,18534,1088957
Hartford Fire,2,1997,10,10,120,680108,11284,1088957
Fremont Ind,3,1988,1,1,12,127930,127930,993517
Fremont Ind,3,1988,1,2,24,305906,177976,993517
Fremont Ind,3,1988,1,3,36,436401,130495,993517
Fremont Ind,3,1988,1,4,48,525883,89482,993517
Fremont Ind,3,1988,1,5,60,574746,48863,993517
Fremont Ind,3,1988,1,6,72,603238,28492,993517
Fremont Ind,3,1988,1,7,84,619394,16156,993517
Fremont Ind,3,1988,1,8,96,630400,11006,993517
Fremont Ind,3,1988,1,9,108,638194,7794,993517
Fremont Ind,3,1988,1,10,120,643432,5238,993517
Fremont Ind,3,1989,2,1,12,145884,145884,1147142
Fremont Ind,3,1989,2,2,24,354991,209107,1147142
Fremont Ind,3,1989,2,3,36,519294,164303,1147142
Fremont Ind,3,1989,2,4,48,625538,106244,1147142
Fremont Ind,3,1989,2,5,60,689494,63956,1147142
Fremont Ind,3,1989,2,6,72,723827,34333,1147142
Fremont Ind,3,1989,2,7,84,742711,18884,1147142
Fremont Ind,3,1989,2,8,96,755995,13284,1147142
Fremont Ind,3,1989,2,9,108,764012,8017,1147142
Fremont Ind,3,1990,3,1,12,172844,172844,1173693
Fremont Ind,3,1990,3,2,24,437748,264904,1173693
Fremont Ind,3,1990,3,3,36,628211,190463,1173693
Fremont Ind,3,1990,3,4,48,744906,116695,1173693
Fremont Ind,3,1990,3,5,60,820973,76067,1173693
Fremont Ind,3,1990,3,6,72,862063,41090,1173693
Fremont Ind,3,1990,3,7,84,888906,26843,1173693
Fremont Ind,3,1990,3,8,96,910643,21737,1173693
Fremont Ind,3,1991,4,1,12,169628,169628,1146300
Fremont Ind,3,1991,4,2,24,433736,264108,1146300
Fremont Ind,3,1991,4,3,36,621026,187290,1146300
Fremont Ind,3,1991,4,4,48,740071,119045,1146300
Fremont Ind,3,1991,4,5,60,819885,79814,1146300
Fremont Ind,3,1991,4,6,72,866486,46601,1146300
Fremont Ind,3,1991,4,7,84,894145,27659,1146300
